날짜,종가,시가,고가,저가,거래량,변동률,RSI_14,MACD,신호선,MA5,MA20,MA60
2026-03-11,"5,609.95","5,658.72","5,746.36","5,559.69",1.05B,1.40%,32.24357133138824,-160.760826087052,-225.95045905797753,5574.154,5510.3175,
2026-03-10,"5,532.59","5,523.21","5,595.88","5,427.88",923.21M,5.35%,32.24357133138824,-154.67131251112914,-211.69462974860787,5552.576,5512.2080000000005,
2026-03-09,"5,251.87","5,265.37","5,327.42","5,096.16",1.03B,-5.96%,32.24357133138824,-170.53130828485155,-203.4619654558566,5492.98,5502.285,
2026-03-06,"5,584.87","5,491.02","5,609.98","5,381.27",1.22B,0.02%,32.24357133138824,-154.44975160289778,-193.65952268526485,5512.505999999999,5512.663500000001,
2026-03-05,"5,583.90","5,250.92","5,715.30","5,248.13",1.66B,9.63%,32.24357133138824,-140.16750916999536,-182.96111998221096,5512.636,5530.156,
2026-03-04,"5,093.54","5,592.59","5,672.12","5,059.45",1.64B,-12.06%,32.24357133138824,-166.4974045952713,-179.66837690482305,5409.354,5510.897999999999,
2026-03-03,"5,791.91","6,165.15","6,180.45","5,791.65",1.23B,-7.24%,32.24357133138824,-129.5184063718234,-169.63838279822312,5461.218,5547.8705,
2026-02-27,"6,244.13","6,197.49","6,347.41","6,153.87",1.17B,-1.00%,32.24357133138824,-62.99573361702187,-148.30985296198287,5659.67,5596.212,
2026-02-26,"6,307.27","6,121.03","6,313.27","6,107.41",1.41B,3.67%,32.24357133138824,-5.122121246540701,-119.67230661889444,5804.15,5639.632,
2026-02-25,"6,083.86","6,022.70","6,144.71","5,984.28",1.42B,1.91%,32.24357133138824,22.456943958211923,-91.24645650347318,5904.142,5670.802000000001,
2026-02-24,"5,969.64","5,853.48","5,969.64","5,775.61",1.60B,2.11%,32.24357133138824,34.69698713619982,-66.05776777553858,6079.361999999999,5687.1735,6197.8910000000005
2026-02-23,"5,846.09","5,903.11","5,931.86","5,792.57",1.48B,0.65%,32.24357133138824,34.03551683820024,-46.03911085279082,6090.197999999999,5701.782,6165.066
2026-02-20,"5,808.53","5,696.89","5,809.91","5,684.58",1.75B,2.31%,32.24357133138824,30.133162424232978,-30.804656197386066,6003.078,5721.921,6141.725666666667
2026-02-19,"5,677.25","5,642.09","5,681.65","5,614.97",1.19B,3.09%,32.24357133138824,16.259885747485896,-21.391747808411676,5877.0740000000005,5716.7235,6115.152166666667
2026-02-13,"5,507.01","5,513.71","5,583.74","5,480.92",1.29B,-0.28%,32.24357133138824,-8.375187269879461,-18.788435700705236,5761.704,5703.913,6081.668333333334
2026-02-12,"5,522.27","5,425.39","5,522.27","5,399.52",750.61M,3.13%,32.24357133138824,-26.36340473625023,-20.303429507814236,5672.23,5683.775,6048.819833333333
2026-02-11,"5,354.49","5,293.75","5,374.23","5,257.53",753.77M,1.00%,32.24357133138824,-53.54045939239495,-26.950835484730383,5573.91,5669.4755000000005,6005.037833333333
2026-02-10,"5,301.69","5,350.21","5,363.62","5,286.67",712.27M,0.07%,32.24357133138824,-78.43484170826468,-37.24763672943725,5472.5419999999995,5657.0675,5962.665833333333
2026-02-09,"5,298.04","5,299.10","5,322.35","5,265.08",617.66M,4.10%,32.24357133138824,-97.33631113855336,-49.26537161126048,5396.7,5647.6075,5923.580666666667
2026-02-06,"5,089.14","5,013.15","5,120.77","4,899.30",745.76M,-1.44%,32.24357133138824,-127.70029646269813,-64.95235658154802,5313.126,5622.902,5878.0289999999995
2026-02-05,"5,163.57","5,251.03","5,304.40","5,142.20",911.91M,-3.86%,32.24357133138824,-144.0970337227809,-80.7812920097946,5241.386,5600.5830000000005,5839.121833333334
2026-02-04,"5,371.10","5,260.71","5,376.92","5,243.11",789.92M,1.57%,32.24357133138824,-138.74624914053584,-92.37428343594284,5244.7080000000005,5592.5085,5803.806
2026-02-03,"5,288.08","5,114.81","5,288.08","5,101.31",672.61M,6.84%,32.24357133138824,-139.59556322406934,-101.81853939356814,5241.986,5594.319,5768.864666666666
2026-02-02,"4,949.67","5,122.62","5,196.71","4,933.58",572.54M,-5.26%,32.24357133138824,-165.66581712741754,-114.58799494033804,5172.312,5562.558999999999,5735.742666666667
2026-01-30,"5,224.36","5,210.35","5,321.68","5,199.78",862.54M,0.06%,32.24357133138824,-162.29070759725073,-124.12853747172059,5199.356,5544.582,5712.8341666666665
2026-01-29,"5,221.25","5,243.42","5,252.61","5,073.12",699.66M,0.98%,32.24357133138824,-158.0450154286318,-130.91183306310285,5210.892,5550.967500000001,5688.34
2026-01-28,"5,170.81","5,145.39","5,183.44","5,124.80",593.11M,1.69%,32.24357133138824,-156.9412393372222,-136.11771431792673,5170.834000000001,5519.9125,5663.8365
2026-01-27,"5,084.85","4,932.89","5,084.85","4,890.72",476.16M,2.73%,32.24357133138824,-161.14516132444078,-141.12320371922954,5130.188,5461.9485,5638.333499999999
2026-01-26,"4,949.59","4,997.54","5,023.76","4,940.78",446.90M,-0.81%,32.24357133138824,-173.39239181215453,-147.57704133781453,5130.1720000000005,5394.0644999999995,5612.8994999999995
2026-01-23,"4,990.07","4,984.08","5,021.13","4,926.22",612.60M,0.76%,32.24357133138824,-177.7826448516762,-153.61816204058687,5083.314,5339.375,5588.137166666666
2026-01-22,"4,952.53","4,987.06","5,019.54","4,934.17",568.62M,0.87%,32.24357133138824,-182.1909326193745,-159.33271615634442,5029.570000000001,5288.5195,5563.713833333332
2026-01-21,"4,909.93","4,808.94","4,910.54","4,807.13",600.10M,0.49%,32.24357133138824,-186.96675998586943,-164.85952492224942,4977.394,5241.711499999999,5539.071500000001
2026-01-20,"4,885.75","4,900.28","4,935.48","4,823.88",667.71M,-0.39%,32.24357133138824,-190.50671863499338,-169.98896366479823,4937.5740000000005,5195.5725,5516.849166666667
2026-01-19,"4,904.66","4,829.40","4,917.37","4,827.95",570.84M,1.32%,32.24357133138824,-189.60068374601542,-173.91130768104168,4928.588,5156.943,5495.394833333334
2026-01-16,"4,840.74","4,820.66","4,855.61","4,797.75",720.91M,0.90%,32.24357133138824,-191.82916713788836,-177.49487957241104,4898.722,5123.629500000001,5472.306333333333
2026-01-15,"4,797.55","4,710.28","4,797.55","4,705.44",545.17M,1.58%,32.24357133138824,-194.83439865986384,-180.9627833899016,4867.726,5087.3935,5450.742333333333
2026-01-14,"4,723.10","4,685.11","4,723.10","4,669.32",550.42M,0.65%,32.24357133138824,-200.9076210926387,-184.951750930449,4830.36,5055.824,5429.998166666667
2026-01-13,"4,692.64","4,662.44","4,693.07","4,641.58",429.15M,1.47%,32.24357133138824,-205.8061558067193,-189.1226319057031,4791.737999999999,5025.3715,5411.3985
2026-01-12,"4,624.79","4,639.89","4,652.54","4,567.55",394.75M,0.84%,32.24357133138824,-212.71120544531095,-193.8403466136247,4735.764,4991.709,5390.8305
2026-01-09,"4,586.32","4,530.03","4,590.03","4,500.48",399.22M,0.75%,32.24357133138824,-218.76591720836313,-198.8254607325724,4684.88,4966.568,5370.969
2026-01-08,"4,552.37","4,531.46","4,622.32","4,527.50",440.09M,0.03%,32.24357133138824,-223.72484047333728,-203.8053366807254,4635.843999999999,4936.008,5348.9695
2026-01-07,"4,551.06","4,566.34","4,611.72","4,488.20",553.65M,0.57%,32.24357133138824,-225.16496735645524,-208.0772628158714,4601.436,4895.005999999999,5333.240833333333
2026-01-06,"4,525.48","4,446.08","4,525.48","4,395.00",498.39M,1.52%,32.24357133138824,-225.76785916110293,-211.6153820849177,4568.004,4856.876,5317.826666666666
2026-01-05,"4,457.52","4,385.92","4,457.52","4,381.93",513.87M,3.43%,32.24357133138824,-229.08866773555928,-215.11003921504604,4534.55,4832.2685,5302.497
2026-01-02,"4,309.63","4,224.53","4,313.55","4,216.68",406.34M,2.27%,32.24357133138824,-240.8772366444864,-220.26347870093414,4479.212,4786.532,5287.09
2025-12-30,"4,214.17","4,193.75","4,226.36","4,186.95",408.20M,-0.15%,32.24357133138824,-254.9832979076682,-227.20744254228097,4411.572,4736.178,5266.0145
2025-12-29,"4,220.56","4,146.48","4,220.56","4,146.48",502.39M,2.20%,32.24357133138824,-262.61951914910514,-234.2898578636458,4345.472,4688.6655,5252.1494999999995
2025-12-26,"4,129.68","4,130.37","4,143.14","4,116.53",510.16M,0.51%,32.24357133138824,-272.8591851456822,-242.0037233200531,4266.312,4640.907,5233.0225
2025-12-24,"4,108.62","4,136.24","4,137.20","4,106.62",363.61M,-0.21%,32.24357133138824,-279.4522091014551,-249.4934204763335,4196.532,4598.8585,5210.8516666666665
2025-12-23,"4,117.32","4,127.40","4,140.84","4,110.25",385.85M,0.28%,32.24357133138824,-280.7390260571001,-255.74254159248682,4158.07,4555.221,5188.465999999999
2025-12-22,"4,105.93","4,096.26","4,105.93","4,083.13",315.63M,2.12%,32.24357133138824,-279.4565148279662,-260.4853362395827,4136.4220000000005,4512.891,5162.861333333333
2025-12-19,"4,020.55","4,055.78","4,055.78","3,997.05",442.66M,0.65%,32.24357133138824,-282.07794888117496,-264.80385876790115,4096.42,4468.4220000000005,5137.305166666668
2025-12-18,"3,994.51","3,989.60","4,030.65","3,975.50",581.44M,-1.53%,32.24357133138824,-282.99448041709456,-268.44198309773986,4069.386,4423.860000000001,5113.7845
2025-12-17,"4,056.41","4,019.43","4,060.24","3,994.65",360.96M,1.43%,32.24357133138824,-275.5496606185461,-269.8635186019011,4058.9440000000004,4381.4475,5085.0380000000005
2025-12-16,"3,999.13","4,093.32","4,099.01","3,996.23",373.99M,-2.24%,32.24357133138824,-271.14600225081085,-270.1200153316831,4035.3060000000005,4339.367,5055.6365
2025-12-15,"4,090.59","4,053.74","4,123.19","4,052.65",346.84M,-1.84%,32.24357133138824,-257.3099052134021,-267.5579933080269,4032.2380000000003,4304.019,5025.0625
2025-12-12,"4,167.16","4,123.83","4,168.17","4,120.73",426.62M,1.38%,32.24357133138824,-237.42920348650568,-261.5322353437226,4061.56,4276.222,5000.507166666666
2025-12-11,"4,110.62","4,163.32","4,170.77","4,103.20",539.84M,-0.59%,32.24357133138824,-223.65772260661197,-253.9573327963005,4084.782,4247.121,4976.52
2025-12-10,"4,135.00","4,159.05","4,172.64","4,123.60",317.90M,-0.21%,32.24357133138824,-208.37445157414095,-244.8407565518686,4100.5,4222.6315,4953.982666666667
2025-12-09,"4,143.55","4,129.77","4,152.18","4,121.21",400.64M,-0.27%,32.24357133138824,-193.34368992107557,-234.54134322571,4129.384,4200.493,4929.987666666667
2025-12-08,"4,154.85","4,109.25","4,154.85","4,081.26",395.58M,1.34%,32.24357133138824,-178.46268076359047,-223.3256107332861,4142.236,4180.617,4905.736
2025-12-05,"4,100.05","4,023.50","4,100.05","4,003.29",478.51M,1.78%,32.24357133138824,-169.14151768278498,-212.4887921231859,4128.814,4158.066499999999,4881.860333333333
2025-12-04,"4,028.51","4,018.91","4,028.53","3,982.54",352.04M,-0.19%,32.24357133138824,-165.61796805898757,-203.11462731034624,4112.392,4133.218,4861.471
2025-12-03,"4,036.30","4,010.26","4,052.83","3,987.76",290.90M,1.04%,32.24357133138824,-160.3485435040584,-194.56141054908866,4092.6520000000005,4112.157,4835.6615
2025-12-02,"3,994.93","3,939.09","3,994.93","3,935.14",319.04M,1.90%,32.24357133138824,-157.69291408348363,-187.18771125596768,4062.928000000001,4096.4220000000005,4809.178666666668
2025-12-01,"3,920.37","3,967.92","3,977.31","3,892.08",296.92M,-0.16%,32.24357133138824,-159.76302876441787,-181.70277475765775,4016.032,4081.732,4789.6258333333335
2025-11-28,"3,926.59","3,995.30","3,995.30","3,921.89",241.92M,-1.51%,32.24357133138824,-159.06806985330513,-177.17583377678724,3981.34,4067.0335,4758.537166666666
2025-11-27,"3,986.91","3,989.45","4,023.42","3,968.43",257.86M,0.66%,32.24357133138824,-151.89899298729551,-172.12046561888891,3973.0199999999995,4059.8949999999995,4720.916833333334
2025-11-26,"3,960.87","3,891.88","3,960.87","3,866.66",295.33M,2.67%,32.24357133138824,-146.62841717503989,-167.02205593011914,3957.934,4052.5075000000006,4681.810166666666
2025-11-25,"3,857.78","3,942.36","3,946.61","3,833.35",279.29M,0.30%,32.24357133138824,-149.05177325176192,-163.4279993944477,3930.504,4039.5305,4644.708833333333
2025-11-24,"3,846.06","3,915.16","3,917.16","3,838.20",373.12M,-0.19%,32.24357133138824,-150.1867471209689,-160.77974893975195,3915.642,4026.5370000000003,4609.315833333333
2025-11-21,"3,853.26","3,908.70","3,911.55","3,838.46",319.32M,-3.79%,32.24357133138824,-148.79008280629068,-158.3818157130597,3900.976,4018.1724999999997,4576.102
2025-11-20,"4,004.85","4,030.97","4,059.37","4,001.31",360.28M,1.92%,32.24357133138824,-133.9075670861721,-153.4869659876822,3904.564,4018.6895000000004,4546.040666666667
2025-11-19,"3,929.51","3,966.64","3,966.64","3,854.95",338.24M,-0.61%,32.24357133138824,-126.73149275176411,-148.1358713404986,3898.292,4012.3445,4516.911666666667
2025-11-18,"3,953.62","4,044.47","4,072.41","3,953.26",319.66M,-3.32%,32.24357133138824,-117.74167391139554,-142.057031854678,3917.46,4010.0690000000004,4491.021833333333
2025-11-17,"4,089.25","4,078.57","4,089.88","4,045.40",344.10M,1.94%,32.24357133138824,-98.53709591496545,-133.3530446667355,3966.0980000000004,4010.0020000000004,4467.1381666666675
2025-11-14,"4,011.57","4,061.91","4,092.76","4,011.40",399.99M,-3.81%,32.24357133138824,-88.56453941160908,-124.39534361571023,3997.7599999999998,4002.2225,4444.756166666668
2025-11-13,"4,170.63","4,127.57","4,188.54","4,123.84",424.19M,0.49%,32.24357133138824,-67.05345338292136,-112.92696556915246,4030.916,4005.2230000000004,4425.905166666666
2025-11-12,"4,150.39","4,097.44","4,154.62","4,088.86",334.58M,1.07%,32.24357133138824,-51.050483378873196,-100.5516691310966,4075.0919999999996,4005.9925000000003,4406.777666666667
2025-11-11,"4,106.39","4,124.30","4,187.46","4,066.58",377.55M,0.81%,32.24357133138824,-41.44074353662563,-88.7294840122024,4105.646000000001,4004.1345,4390.3985
2025-11-10,"4,073.24","3,991.87","4,092.91","3,984.24",339.51M,3.02%,32.24357133138824,-36.08393034356459,-78.20037327847484,4102.444,4000.054,4372.226333333334
2025-11-07,"3,953.76","3,963.72","4,037.61","3,887.32",377.05M,-1.81%,32.24357133138824,-41.006952139957775,-70.76168905077142,4090.8820000000005,3992.7394999999997,4348.604
2025-11-06,"4,026.45","4,092.46","4,111.96","3,985.29",423.42M,0.55%,32.24357133138824,-38.5980723264197,-64.32896570590108,4062.046,3992.6364999999996,4327.5768333333335
2025-11-05,"4,004.42","4,055.47","4,055.47","3,867.81",594.16M,-2.85%,32.24357133138824,-38.02828817249201,-59.06883019921928,4032.8520000000003,3991.0424999999996,4311.822666666666
2025-11-04,"4,121.74","4,219.24","4,226.75","4,117.91",423.54M,-2.37%,32.24357133138824,-27.789644881836466,-52.812993135742715,4035.922,3997.3830000000003,4293.4456666666665
2025-11-03,"4,221.87","4,123.36","4,221.92","4,123.36",472.68M,2.78%,32.24357133138824,-11.463646350618546,-44.543123778717884,4065.6479999999997,4012.458,4276.789333333333
2025-10-31,"4,107.50","4,083.25","4,122.09","4,059.74",408.28M,0.50%,32.24357133138824,-7.665514779429486,-37.167601978860205,4096.396,4021.5035,4259.0675
2025-10-30,"4,086.89","4,105.95","4,146.72","4,070.79",566.54M,0.14%,32.24357133138824,-6.246516941268055,-30.983384971341778,4108.4839999999995,4026.5025,4242.434833333334
2025-10-29,"4,081.15","4,061.54","4,084.09","4,014.84",466.90M,1.76%,32.24357133138824,-5.521472857907611,-25.891002548654946,4123.83,4032.5165,4227.9608333333335
2025-10-28,"4,010.41","4,010.47","4,018.22","3,972.56",408.22M,-0.80%,32.24357133138824,-10.533572532107883,-22.819516545345532,4101.564,4040.1479999999997,4211.6331666666665
2025-10-27,"4,042.83","3,999.79","4,042.83","3,999.79",517.00M,2.57%,32.24357133138824,-11.75417971238312,-20.606449178753053,4065.756,4049.9865,4196.471500000001
2025-10-24,"3,941.59","3,893.23","3,951.07","3,886.64",426.90M,2.50%,32.24357133138824,-20.652670469437453,-20.615693436889934,4032.5739999999996,4054.4030000000007,4180.3325
2025-10-23,"3,845.56","3,835.79","3,902.21","3,822.33",423.59M,-0.98%,32.24357133138824,-35.04957723955795,-23.50247019742354,3984.308,4046.4385,4162.996
2025-10-22,"3,883.68","3,827.23","3,883.68","3,794.52",597.22M,1.56%,32.24357133138824,-42.88886798834665,-27.379749755608167,3944.814,4044.147,4145.979666666667
2025-10-21,"3,823.84","3,851.01","3,893.06","3,816.19",526.85M,0.24%,32.24357133138824,-53.31556167485269,-32.566912139457074,3907.5,4037.6579999999994,4129.031333333333
2025-10-20,"3,814.69","3,775.40","3,814.69","3,728.38",410.15M,1.76%,32.24357133138824,-61.60695346143302,-38.374920403852265,3861.8720000000003,4023.9299999999994,4112.650333333333
2025-10-17,"3,748.89","3,732.76","3,794.87","3,722.07",420.77M,0.01%,32.24357133138824,-72.64998744281138,-45.22993381164409,3823.332,4010.796,4096.4135
2025-10-16,"3,748.37","3,675.82","3,748.37","3,675.82",495.79M,2.49%,32.24357133138824,-80.51549853998449,-52.28704675731217,3803.8940000000002,3989.683,4080.675666666667
2025-10-15,"3,657.28","3,580.64","3,659.91","3,577.06",543.61M,2.68%,32.24357133138824,-93.02681921680141,-60.43500124921002,3758.614,3965.0275,4064.5505
2025-10-14,"3,561.81","3,604.12","3,646.77","3,535.52",734.08M,-0.63%,32.24357133138824,-109.38484175029862,-70.22496934942774,3706.208,3937.7985,4047.4753333333338
2025-10-13,"3,584.55","3,550.08","3,584.55","3,522.54",408.03M,-0.72%,32.24357133138824,-119.14038827369086,-80.00805313428037,3660.1800000000003,3913.364,4031.345
2025-10-10,"3,610.60","3,598.11","3,617.86","3,569.44",407.41M,1.73%,32.24357133138824,-123.34783482878447,-88.6760094731812,3632.522,3896.2059999999997,4015.6706666666664
2025-10-06,"3,549.21","3,525.48","3,549.21","3,549.21",402.11M,0.00%,32.24357133138824,-130.13580196079465,-96.9679679707039,3592.69,3872.344,3999.3995
2025-10-02,"3,549.21","3,525.48","3,565.96","3,512.16",402.11M,2.70%,32.24357133138824,-133.9709807455797,-104.36857052567908,3571.076,3849.5834999999997,3984.261
2025-10-01,"3,455.83","3,444.06","3,459.74","3,440.42",493.64M,0.91%,32.24357133138824,-142.89813243456456,-112.07448290745619,3549.88,3816.2879999999996,3970.031
2025-09-30,"3,424.60","3,436.00","3,443.38","3,421.89",526.40M,-0.19%,32.24357133138824,-150.7551529038883,-119.81061690674261,3517.8900000000003,3776.4245,3956.8715
2025-09-29,"3,431.21","3,414.43","3,439.12","3,413.33",416.48M,1.33%,32.24357133138824,-154.665637284083,-126.7816209822107,3482.012,3742.6099999999997,3943.7156666666665
2025-09-26,"3,386.05","3,440.39","3,441.91","3,365.73",399.15M,-2.45%,32.24357133138824,-159.56934285507214,-133.33916535678298,3449.38,3707.568,3931.321833333334
2025-09-25,"3,471.11","3,458.98","3,479.42","3,454.08",293.08M,-0.03%,32.24357133138824,-154.80741026419446,-137.6328143382653,3433.7599999999998,3677.066,3920.6966666666663
2025-09-24,"3,472.14","3,492.03","3,497.95","3,442.41",287.14M,-0.40%,32.24357133138824,-149.23019914297402,-139.95229129920705,3437.022,3650.1525,3909.943666666667
2025-09-23,"3,486.19","3,489.46","3,494.49","3,467.83",358.34M,0.51%,32.24357133138824,-142.03916251930605,-140.36966554322686,3449.34,3622.3205000000003,3899.614666666667
2025-09-22,"3,468.65","3,463.84","3,482.25","3,458.87",287.87M,0.68%,32.24357133138824,-136.18568183102752,-139.532868800787,3456.828,3598.6735,3890.4163333333336
2025-09-19,"3,445.24","3,461.23","3,467.89","3,434.61",348.84M,-0.46%,32.24357133138824,-131.91511226806233,-138.00931749424208,3468.666,3578.6575,3881.261833333333
2025-09-18,"3,461.30","3,432.77","3,461.30","3,422.77",391.18M,1.40%,32.24357133138824,-125.78477870997767,-135.5644097373892,3466.704,3557.5385,3871.343333333333
2025-09-17,"3,413.40","3,433.83","3,433.83","3,406.75",326.61M,-1.05%,32.24357133138824,-123.36944867204784,-133.12541752432094,3454.9559999999997,3537.0165,3861.5811666666673
2025-09-16,"3,449.62","3,421.13","3,452.50","3,418.10",406.21M,1.24%,32.24357133138824,-117.18183170589782,-129.93670036063634,3447.642,3518.7630000000004,3850.898333333333
2025-09-15,"3,407.31","3,407.78","3,420.23","3,391.33",378.85M,0.35%,32.24357133138824,-114.3737348611262,-126.82410726073431,3435.374,3501.684,3838.234166666667
2025-09-12,"3,395.54","3,374.65","3,395.54","3,362.86",448.86M,1.54%,32.24357133138824,-111.809171978628,-123.82112020431305,3425.4339999999997,3484.0424999999996,3826.3161666666665
2025-09-11,"3,344.20","3,336.60","3,344.70","3,311.86",435.59M,0.90%,32.24357133138824,-112.62121904244168,-121.58113997193878,3402.014,3468.3884999999996,3813.136166666666
2025-09-10,"3,314.53","3,272.20","3,317.77","3,272.07",564.71M,1.67%,32.24357133138824,-114.34084316317922,-120.13308061018688,3382.2400000000002,3456.0245000000004,3799.3191666666667
2025-09-09,"3,260.05","3,231.31","3,260.05","3,221.98",439.95M,1.26%,32.24357133138824,-118.73108037272414,-119.85268056269435,3344.326,3439.7995,3784.4058333333332
2025-09-08,"3,219.59","3,209.81","3,221.14","3,206.34",372.30M,0.45%,32.24357133138824,-124.04524251270595,-120.69119295269667,3306.782,3420.249,3769.7315000000003
2025-09-05,"3,205.12","3,208.83","3,214.64","3,196.19",323.84M,0.13%,32.24357133138824,-127.94944085585257,-122.14284253332785,3268.698,3403.0445,3756.008333333333
2025-09-04,"3,200.83","3,188.84","3,205.61","3,185.49",286.26M,0.52%,32.24357133138824,-129.89239464771026,-123.69275295620433,3240.0240000000003,3385.6254999999996,3742.083833333333
2025-09-03,"3,184.42","3,177.75","3,187.48","3,167.23",335.82M,0.38%,32.24357133138824,-131.24345651144222,-125.20289366725191,3214.002,3372.0549999999994,3728.575333333333
2025-09-02,"3,172.35","3,155.73","3,174.16","3,151.93",310.68M,0.94%,32.24357133138824,-131.76917784044645,-126.51615050189083,3196.462,3359.4425,3716.108333333333
